/ Dataset:E:\data\storage\2\5\1\4\0003\Acoustic properties (Vp, Vs, density) - CSV - Point Data.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,Access_Num,Sample_Num,District,Mode,Wet_Dry,Comments,Rock_type,Latitude,Longitude,Prop_Dir,Vib_Dir,Density,V_10,V_20,V_40,V_60,V_80,V_100,V_200,V_400,V_600,V_800,V_1000
-116,49.6700000009,2081.0,SA-18z,"Sullivan Deposit, B.C.",P,D,,Laminite,49.7,-116.0,nF,n.a.,2.7,4.2,4.4,4.6,4.8,4.9,4.9,5.2,5.4,5.4,*,*,
-116,49.6700000009,2082.0,SA-19xy,"Sullivan Deposit, B.C.",P,D,,Laminite,49.7,-116.0,pF,n.a.,2.8,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.3,6.3,*,*,
-116,49.6700000009,2083.0,SA-19z,"Sullivan Deposit, B.C.",P,D,,Laminite,49.7,-116.0,nF,n.a.,2.8,5.4,5.5,5.5,5.6,5.6,5.7,5.7,5.8,5.8,*,*,
-116,49.6700000009,2084.0,SA-20xy,"Sullivan Deposit, B.C.",P,D,"faintly laminated",Wacke,49.7,-116.0,pF,n.a.,2.8,*,6.1,6.2,6.2,6.2,6.2,6.3,6.3,6.4,*,*,
-116,49.6700000009,2085.0,SA-20z,"Sullivan Deposit, B.C.",P,D,"faintly laminated",Wacke,49.7,-116.0,nF,n.a.,2.8,5.9,5.9,5.9,5.9,5.9,6.0,6.0,6.1,6.1,*,*,
-116,49.6700000009,2086.0,SA-21,"Sullivan Deposit, B.C.",P,D,,"Pebble fragmental",49.7,-116.0,n.a.,n.a.,2.9,5.6,5.6,5.7,5.7,5.7,5.7,5.8,5.8,5.8,*,*,
-116,49.6700000009,2087.0,SA-22,"Sullivan Deposit, B.C.",P,D,po-impregnated,Fragmental,49.7,-116.0,n.a.,n.a.,3.0,5.7,5.7,5.8,5.8,5.8,5.8,5.9,5.9,6.0,*,*,
-116,49.6700000009,2088.0,SA-23,"Sullivan Deposit, B.C.",P,D,,Wacke,49.7,-116.0,n.a.,n.a.,2.7,*,6.2,6.2,6.2,6.2,6.3,6.3,6.4,6.4,*,*,
-116,49.6700000009,2089.0,SA-24,"Sullivan Deposit, B.C.",P,D,,Subwacke-argillite,49.7,-116.0,n.a.,n.a.,2.8,*,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.6,*,*,
-116,49.6700000009,2090.0,SA-25xy,"Sullivan Deposit, B.C.",P,D,"foliated carbonated",Gabbro,49.7,-116.0,pF,n.a.,2.8,5.3,5.6,5.8,5.9,5.9,6.0,6.1,6.2,6.3,*,*,
-116,49.6700000009,2091.0,SA-25z,"Sullivan Deposit, B.C.",P,D,"foliated carbonated",Gabbro,49.7,-116.0,nF,n.a.,2.9,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.9,6.9,*,*,
-116,49.6700000009,2092.0,SA-26,"Sullivan Deposit, B.C.",P,D,"slightly foliated",Gabbro,49.7,-116.0,n.a.,n.a.,2.8,5.9,6.1,6.2,6.2,6.3,6.3,6.4,6.4,6.4,*,*,
-116,49.6700000009,2093.0,SA-27,"Sullivan Deposit, B.C.",P,D,,"Quartz wacke",49.7,-116.0,n.a.,n.a.,2.7,5.7,5.8,5.9,5.9,6.0,6.0,6.0,6.1,6.1,*,*,
-116,49.6700000009,2094.0,SA-28,"Sullivan Deposit, B.C.",P,D,,"Quartz wacke",49.7,-116.0,n.a.,n.a.,2.7,5.4,5.7,5.8,5.9,5.9,5.9,6.0,6.0,6.0,*,*,
-116,49.6700000009,2095.0,SA-29,"Sullivan Deposit, B.C.",P,D,,"Quartz arenite",49.7,-116.0,n.a.,n.a.,2.7,5.3,5.6,5.9,6.0,6.1,6.1,6.2,6.3,6.3,*,*,
-116,49.6700000009,2096.0,SA-30xy,"Sullivan Deposit, B.C.",P,D,,"Quartz arenite",49.7,-116.0,pF,n.a.,2.7,5.7,5.8,6.0,6.0,6.1,6.1,6.2,6.2,6.2,*,*,
-116,49.6700000009,2097.0,SA-30z,"Sullivan Deposit, B.C.",P,D,,"Quartz arenite",49.7,-116.0,nF,n.a.,2.7,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.2,6.2,*,*,
-116,49.6700000009,2098.0,SA-31,"Sullivan Deposit, B.C.",P,D,"contact hornfels","Quartz arenite wacke",49.7,-116.0,n.a.,n.a.,2.7,5.1,5.4,5.7,5.8,5.8,5.9,6.0,6.0,6.1,*,*,
-116,49.6700000009,2099.0,SA-32xy,"Sullivan Deposit, B.C.",P,D,,Subwacke-argillite,49.7,-116.0,pF,n.a.,2.7,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.2,6.3,*,*,
-116,49.6700000009,2100.0,SA-32z,"Sullivan Deposit, B.C.",P,D,,Subwacke-argillite,49.7,-116.0,nF,n.a.,2.8,5.6,5.6,5.7,5.7,5.7,5.8,5.8,5.9,6.0,*,*,
-116,49.6700000009,2101.0,SA-33xy,"Sullivan Deposit, B.C.",P,D,"laminated thin-bedded",Subwacke-argillite,49.7,-116.0,pF,n.a.,2.8,6.3,6.5,6.6,6.6,6.7,6.7,6.7,6.8,6.8,*,*,
-116,49.6700000009,2102.0,SA-33z,"Sullivan Deposit, B.C.",P,D,"laminated thin-bedded",Subwacke-argillite,49.7,-116.0,nF,n.a.,2.8,5.1,5.1,5.2,5.2,5.2,5.2,5.3,5.4,5.4,*,*,
-116,49.6700000009,2103.0,SA-34,"Sullivan Deposit, B.C.",P,D,,Wacke,49.7,-116.0,n.a.,n.a.,2.8,6.0,6.0,6.1,6.2,6.2,6.2,6.3,6.4,6.5,*,*,
-116,49.6700000009,2104.0,SA-36,"Sullivan Deposit, B.C.",P,D,"laminated thin-bedded",Wacke/subwacke/argillite,49.7,-116.0,n.a.,n.a.,2.8,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.8,5.8,*,*,
-116,49.6700000009,2105.0,SA-37,"Sullivan Deposit, B.C.",P,D,coarse,Fragmental,49.7,-116.0,n.a.,n.a.,2.8,6.2,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.5,*,*,
-116,49.6700000009,2106.0,SA-38,"Sullivan Deposit, B.C.",P,D,"sericite/biotite alteration","Pebble fragmental",49.7,-116.0,n.a.,n.a.,2.8,5.7,5.8,5.8,5.9,5.9,5.9,6.0,6.1,6.1,*,*,
-116,49.6700000009,2107.0,SA-39xy,"Sullivan Deposit, B.C.",P,D,"w/po in thin laminations","Carbonaceous wacke laminite",49.7,-116.0,pF,n.a.,2.8,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.1,6.1,*,*,
-116,49.6700000009,2108.0,SA-39z,"Sullivan Deposit, B.C.",P,D,"w/po in thin laminations","Carbonaceous wacke laminite",49.7,-116.0,nF,n.a.,2.8,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.8,5.8,*,*,
-116,49.6700000009,2109.0,SA-40xy,"Sullivan Deposit, B.C.",P,D,"thin bedded",Wacke/subwacke/argillite,49.7,-116.0,pF,n.a.,2.8,6.0,6.1,6.2,6.2,6.3,6.3,6.3,6.4,6.4,*,*,
-116,49.6700000009,2110.0,SA-40z,"Sullivan Deposit, B.C.",P,D,"thin bedded",Wacke/subwacke/argillite,49.7,-116.0,nF,n.a.,2.8,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.7,5.8,*,*,
-116,49.6700000009,2111.0,SA-41xy,"Sullivan Deposit, B.C.",P,D,calcareous,Wacke/subwacke/argillite,49.7,-116.0,pF,n.a.,2.8,6.1,6.2,6.2,6.2,6.3,6.3,6.3,6.4,6.4,*,*,
-116,49.6700000009,2112.0,SA-41z,"Sullivan Deposit, B.C.",P,D,calcareous,Wacke/subwacke/argillite,49.7,-116.0,nF,n.a.,2.8,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.3,6.3,*,*,
-116,49.6700000009,2113.0,SA-42,"Sullivan Deposit, B.C.",P,D,,"Wacke laminate",49.7,-116.0,n.a.,n.a.,2.7,5.6,5.6,5.7,5.8,5.9,5.9,6.1,6.2,6.3,*,*,
-116,49.6700000009,2114.0,SA-43,"Sullivan Deposit, B.C.",P,D,,"Quartz wacke",49.7,-116.0,n.a.,n.a.,2.7,5.5,5.5,5.6,5.7,5.7,5.8,5.9,6.0,6.1,*,*,
-116,49.6700000009,2115.0,SA-44xy,"Sullivan Deposit, B.C.",P,D,,Subwacke-argillite,49.7,-116.0,pF,n.a.,2.8,*,6.2,6.2,6.2,6.3,6.3,6.4,6.5,6.6,*,*,
-116,49.6700000009,2116.0,SA-44z,"Sullivan Deposit, B.C.",P,D,,Subwacke-argillite,49.7,-116.0,nF,n.a.,2.8,*,5.9,5.9,5.9,6.0,6.0,6.0,6.1,6.1,*,*,
-101.88,54.7700000009,3671.0,,"Flin Flon, Manitoba",P,D,"arkosic, arenitic",Sandstone,54.8,-101.9,n.a.,n.a.,2.8,5.8,5.8,5.8,5.9,5.9,5.9,6.0,6.0,6.0,*,*,
-101.88,54.7700000009,3672.0,,"Flin Flon, Manitoba",P,D,"arkosic, arenitic",Sandstone,54.8,-101.9,n.a.,n.a.,2.7,5.9,5.9,6.0,6.0,6.0,6.1,6.1,6.2,6.2,*,*,
-101.88,54.7700000009,3673.0,,"Flin Flon, Manitoba",P,D,"arkosic, arenitic",Sandstone,54.8,-101.9,n.a.,n.a.,2.7,5.6,5.7,5.7,5.8,5.8,5.8,5.9,5.9,6.0,*,*,
-101.88,54.7700000009,3674.0,,"Flin Flon, Manitoba",P,D,"arkosic, arenitic",Sandstone,54.8,-101.9,n.a.,n.a.,2.8,5.4,5.5,5.6,5.6,5.7,5.7,5.8,5.9,5.9,*,*,
-101.88,54.7700000009,3675.0,,"Flin Flon, Manitoba",S,D,"arkosic, arenitic",Sandstone,54.8,-101.9,n.a.,n.a.,2.8,*,*,3.4,3.5,3.5,3.5,3.6,3.6,3.6,*,*,
-101.88,54.7700000009,3676.0,,"Flin Flon, Manitoba",P,D,amygdaloidal,Basalt,54.8,-101.9,n.a.,n.a.,2.9,*,6.3,6.4,6.4,6.4,6.4,6.5,6.5,6.6,*,*,
-101.88,54.7700000009,3677.0,,"Flin Flon, Manitoba",P,D,amygdaloidal,Basalt,54.8,-101.9,n.a.,n.a.,3.0,6.3,6.3,6.3,6.4,6.4,6.4,6.5,6.6,6.6,*,*,
-101.88,54.7700000009,3678.0,,"Flin Flon, Manitoba",P,D,carbonate-rich,Basalt,54.8,-101.9,n.a.,n.a.,3.0,6.3,6.3,6.4,6.4,6.4,6.4,6.5,6.5,6.5,*,*,
-101.88,54.7700000009,3679.0,,"Flin Flon, Manitoba",P,D,"bedding 60 degrees to core axis ","Basaltic Lapilli tuff",54.8,-101.9,n.a.,n.a.,2.9,6.1,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.5,*,*,
-101.88,54.7700000009,3680.0,,"Flin Flon, Manitoba",P,D,,Basalt,54.8,-101.9,n.a.,n.a.,2.9,6.4,6.4,6.4,6.4,6.5,6.5,6.6,6.6,6.7,*,*,
-101.88,54.7700000009,3681.0,,"Flin Flon, Manitoba",P,D,"calcite-filled amygdules",Basalt,54.8,-101.9,n.a.,n.a.,3.0,*,6.4,6.5,6.5,6.5,6.6,6.7,6.7,6.7,*,*,
-101.88,54.7700000009,3682.0,,"Flin Flon, Manitoba",P,D,"banding 45 degrees to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,*,5.8,5.9,5.9,5.9,6.0,6.0,6.1,6.1,*,*,
-101.88,54.7700000009,3683.0,,"Flin Flon, Manitoba",P,D,"amphibole needles",Basalt,54.8,-101.9,n.a.,n.a.,3.0,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.6,6.6,*,*,
-101.88,54.7700000009,3684.0,,"Flin Flon, Manitoba",P,D,"amphibole needles",Basalt,54.8,-101.9,n.a.,n.a.,3.0,*,6.5,6.6,6.6,6.6,6.6,6.7,6.7,6.8,*,*,
-101.88,54.7700000009,3685.0,,"Flin Flon, Manitoba",P,D,"amphibole needles",Basalt,54.8,-101.9,n.a.,n.a.,3.0,6.4,6.4,6.4,6.5,6.5,6.6,6.6,6.7,6.7,*,*,
-101.88,54.7700000009,3686.0,,"Flin Flon, Manitoba",S,D,"amphibole needles",Basalt,54.8,-101.9,n.a.,n.a.,3.0,3.7,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,*,*,
-101.88,54.7700000009,3687.0,,"Flin Flon, Manitoba",P,D,"fol. 70 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.8,*,6.0,6.1,6.1,6.1,6.2,6.2,6.3,6.3,*,*,
-101.88,54.7700000009,3688.0,,"Flin Flon, Manitoba",P,D,"fol. 45 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.8,5.9,6.0,6.0,6.1,6.1,6.1,6.2,6.3,6.3,*,*,
-101.88,54.7700000009,3689.0,,"Flin Flon, Manitoba",P,D,"fol. 60 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.8,5.4,5.5,5.7,5.8,5.8,5.9,6.0,6.1,6.1,*,*,
-101.88,54.7700000009,3690.0,,"Flin Flon, Manitoba",S,D,"fol. 60 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.8,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.4,*,*,
-101.88,54.7700000009,3691.0,,"Flin Flon, Manitoba",P,D,"fol. 45 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.8,5.8,5.8,5.9,5.9,6.0,6.0,6.1,6.1,6.1,*,*,
-101.88,54.7700000009,3692.0,,"Flin Flon, Manitoba",P,D,"fol. 60 degrees to core axis",Tectonite,54.8,-101.9,n.a.,n.a.,2.9,5.5,5.6,5.6,5.7,5.7,5.7,5.8,5.9,5.9,*,*,
-101.88,54.7700000009,3693.0,,"Flin Flon, Manitoba",P,D,"mafic, bedding 60 degrees to core axis",Tuff,54.8,-101.9,n.a.,n.a.,2.8,*,6.0,6.1,6.1,6.1,6.2,6.2,6.3,6.3,*,*,
-101.88,54.7700000009,3694.0,,"Flin Flon, Manitoba",P,D,"mafic, bedding 70 degrees to core axis",Tuff,54.8,-101.9,n.a.,n.a.,2.9,5.5,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.9,*,*,
-101.88,54.7700000009,3695.0,,"Flin Flon, Manitoba",P,D,"mafic, bedding 70 degrees to core axis",Tuff,54.8,-101.9,n.a.,n.a.,2.8,*,5.7,5.7,5.8,5.8,5.8,5.9,5.9,6.0,*,*,
-101.88,54.7700000009,3696.0,,"Flin Flon, Manitoba",P,D,"graphitic, fol. 50 degrees to core axis",Argillite,54.8,-101.9,n.a.,n.a.,2.8,5.2,5.2,5.3,5.4,5.4,5.4,5.5,5.6,5.6,*,*,
-101.88,54.7700000009,3697.0,,"Flin Flon, Manitoba",S,D,"graphitic, fol. 50 degrees to core axis",Argillite,54.8,-101.9,n.a.,n.a.,2.8,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.6,*,*,
-101.88,54.7700000009,3698.0,,"Flin Flon, Manitoba",P,D,"Qtz,fs-phyric;massive;ser,chl,calc.alt;bedding 70 to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,5.6,5.6,5.7,5.7,5.7,5.7,5.8,5.9,5.9,*,*,
-101.88,54.7700000009,3699.0,,"Flin Flon, Manitoba",S,D,"Qtz,fs-phyric;massive;ser,chl,calc.alt;bedding 70 to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,*,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6,*,*,
