/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-93.3895006926,49.2534850329,D001-0599,1-EPB,0.0,0.0,QUARTZITE,,2.7,,*,49.3,-93.4,*,
-93.3713387645,49.3093335344,D001-0599,1-EPB,0.0,0.0,"QTZ DIORITE",PR.FELS.INTR.,2.8,,*,49.3,-93.4,*,
-94.0391978045,49.2648366072,D001-0604,1-EPB,0.0,0.0,GRANITE,AR.MAF.VOLC.,2.7,,*,49.3,-94.0,*,
-92.8791594275,49.2775192554,D001-0659,1-EPB,0.0,0.0,ANDESITE,PR.VOLCANICS,2.7,,*,49.3,-92.9,*,
-93.2776783103,49.7511835954,D001-0599,1-EPB,0.0,0.0,GRANITE,PR.METASED.,2.6,,*,49.8,-93.3,*,
-93.0861714954,49.4188537479,D001-0659,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.4,-93.1,*,
-93.6938579415,49.73334675,D001-0600,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.7,-93.7,*,
-93.2368432165,49.4065187708,D001-0659,1-EPB,0.0,0.0,GREYWACKE,PR.VOLCANICS,2.6,,*,49.4,-93.2,*,
-94.0435339384,49.3996816707,D001-0604,1-EPB,0.0,0.0,GRANITE,AR.MAF.VOLC.,2.7,,*,49.4,-94.0,*,
-93.382681405,49.5098500825,D001-0599,1-EPB,0.0,0.0,"QTZ DIORITE",PR.FELS.INTR.,2.7,,*,49.5,-93.4,*,
-93.116172505,49.4998531563,D001-0659,1-EPB,0.0,0.0,GRANODIORITE,PR.FELS.INTR.,2.6,,*,49.5,-93.1,*,
-94.0083665271,49.5041740666,D001-0604,1-EPB,0.0,0.0,SYENITE,,2.6,,*,49.5,-94.0,*,
-93.0676708499,49.479020416,D001-0659,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.5,-93.1,*,
-93.8723618543,49.4711747194,D001-0604,1-EPB,0.0,0.0,ANDESITE,PR.MAFICS,2.8,,*,49.5,-93.9,*,
