/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-120.837569466,49.0106913294,D001-0569,1-EPB,0.0,0.0,DIORITE,,2.7,,*,49.0,-120.8,*,
-119.656367016,49.2277122308,D001-0571,1-EPB,0.0,0.0,DIORITE,,2.7,,*,49.2,-119.7,*,
-119.676196901,49.1132118927,D001-0594,1-EPB,0.0,0.0,ANDESITE,,2.9,,*,49.1,-119.7,*,
-119.676196901,49.1132118927,D001-0594,1-EPB,0.0,0.0,GRANITE,,2.9,,*,49.1,-119.7,*,
-119.670697811,49.1365460054,D001-0594,1-EPB,0.0,0.0,GREENSTONE,,2.6,,*,49.1,-119.7,*,
-119.670697811,49.1365460054,D001-0594,1-EPB,0.0,0.0,QUARTZITE,,2.6,,*,49.1,-119.7,*,
-119.676196901,49.1132118927,D001-0595,1-EPB,0.0,0.0,LIMESTONE,,2.7,,*,49.1,-119.7,*,
-119.676196901,49.1132118927,D001-0595,1-EPB,0.0,0.0,GREENSTONE,,2.7,,*,49.1,-119.7,*,
-120.082877992,49.1783733229,D001-0569,1-EPB,0.0,0.0,ANDESITE,,2.6,,*,49.2,-120.1,*,
-120.758239316,49.1506933681,D001-0569,1-EPB,0.0,0.0,SANDSTONE,,2.6,,*,49.2,-120.8,*,
-121.056084774,49.4185215585,D001-0568,1-EPB,0.0,0.0,DIORITE,,2.7,,*,49.4,-121.1,*,
-120.921917206,49.7021944142,D001-0574,1-EPB,0.0,0.0,DACITE,,2.7,,*,49.7,-120.9,*,
-121.681117021,49.7190209565,D001-0829,1-EPB,0.0,5696.0,SYENITE,MES.FELS.INTR.,2.7,,*,49.7,-121.7,*,
-121.155596803,49.7095263365,D001-0821,1-EPB,0.0,6480.0,SYENITE,MES.FELS.INTR.,2.6,,*,49.7,-121.2,*,
-122.069965093,49.7723539025,D001-0829,1-EPB,0.0,5889.0,GRANITE,MES.FELS.INTR.,2.9,,*,49.8,-122.1,*,
-120.985747831,49.3900222175,D001-0568,1-EPB,0.0,0.0,DIORITE,,2.8,,*,49.4,-121.0,*,
-121.137929571,49.773362108,D001-0821,1-EPB,0.0,6526.0,SYENITE,MES.FELS.INTR.,2.6,,*,49.8,-121.1,*,
-121.324107073,49.7753611063,D001-0821,1-EPB,0.0,4787.0,"MAFIC VOLCANIC",MES.FELS.INTR.,2.8,,*,49.8,-121.3,*,
-121.334768066,49.4813499457,D001-0821,1-EPB,0.0,5907.0,"MAFIC GNEISS",,2.6,,*,49.5,-121.3,*,
-121.643782246,49.6248486643,D001-0821,1-EPB,0.0,6911.0,SYENITE,MES.FELS.INTR.,2.7,,*,49.6,-121.6,*,
-121.134094808,49.6226905445,D001-0821,1-EPB,0.0,6005.0,GRANITE,MES.FELS.INTR.,2.6,,*,49.6,-121.1,*,
-121.129426166,49.5536903277,D001-0575,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.6,-121.1,*,
-121.129426166,49.5536903277,D001-0574,1-EPB,0.0,0.0,SHALE,,2.7,,*,49.6,-121.1,*,
-121.003087072,49.5631940345,D001-0575,1-EPB,0.0,0.0,GRANITE,,2.7,,*,49.6,-121.0,*,
-121.290102604,49.6100200306,D001-0821,1-EPB,0.0,5629.0,GRANITE,MES.FELS.INTR.,2.6,,*,49.6,-121.3,*,
-121.135921541,49.3866863133,D001-0568,1-EPB,0.0,0.0,SILTSTONE,,2.8,,*,49.4,-121.1,*,
-119.690528479,49.7447190551,D001-0571,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.7,-119.7,*,
-119.690528479,49.7447190551,D001-0571,1-EPB,0.0,0.0,GNEISS,,2.6,,*,49.7,-119.7,*,
-120.062545768,49.7665396167,D001-0573,1-EPB,0.0,0.0,GRANODIORITE,,2.6,,*,49.8,-120.1,*,
-120.80257754,49.7475316813,D001-0575,1-EPB,0.0,0.0,DACITE,,2.6,,*,49.7,-120.8,*,
-119.826370708,49.7030463245,D001-0571,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.7,-119.8,*,
-120.137219424,49.3240412352,D001-0568,1-EPB,0.0,0.0,BASALT,,2.9,,*,49.3,-120.1,*,
-120.370223819,49.5045324417,D001-0563,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.5,-120.4,*,
-119.641536542,49.5282155183,D001-0571,1-EPB,0.0,0.0,DIORITE,,2.7,,*,49.5,-119.6,*,
-120.63773635,49.6416942377,D001-0563,1-EPB,0.0,0.0,ANDESITE,,2.6,,*,49.6,-120.6,*,
-120.541730317,49.6850292523,D001-0563,1-EPB,0.0,0.0,ANDESITE,,2.9,,*,49.7,-120.5,*,
-119.634699497,49.4265436357,D001-0571,1-EPB,0.0,0.0,DOLOMITE,,2.6,,*,49.4,-119.6,*,
-120.522229888,49.5553620581,D001-0563,1-EPB,0.0,0.0,ANDESITE,,2.9,,*,49.6,-120.5,*,
-119.850044752,49.3558870493,D001-0575,1-EPB,0.0,0.0,RHYOLITE,,2.6,,*,49.4,-119.9,*,
-119.672034386,49.3437134298,D001-0571,1-EPB,0.0,0.0,TUFF,,2.5,,*,49.3,-119.7,*,
-120.40822376,49.3830249647,D001-0568,1-EPB,0.0,0.0,SILTSTONE,,2.7,,*,49.4,-120.4,*,
-132.568165708,54.0478589186,D007-0022,1-EPB,0.0,0.0,"GNEISS BIO QTZ F",,2.7,,*,54.0,-132.6,*,
-132.069886087,53.2529192043,D007-0024,1-EPB,0.0,0.0,"DACITE          ",,2.7,,*,53.3,-132.1,*,
-132.586590382,53.3878965168,D007-0024,1-EPB,0.0,0.0,"DIORITE         ",,2.8,,*,53.4,-132.6,*,
-131.829836016,52.7229285947,D007-0024,1-EPB,0.0,0.0,"LIMESTONE       ",,2.7,,*,52.7,-131.8,*,
-131.464818543,52.5012864647,D007-0024,1-EPB,0.0,0.0,"BASALT          ",,3.0,,*,52.5,-131.5,*,
-125.938858164,51.9738352078,D008-0112,1-EPB,0.0,0.0,"SHIST           ",UNMAPPED,2.6,,*,52.0,-125.9,*,
-125.964746282,51.9799305519,D008-0111,1-EPB,0.0,0.0,"QUARTZITE       ",UNMAPPED,2.9,,*,52.0,-126.0,*,
-125.036916643,51.8310158505,D008-0108,1-EPB,0.0,0.0,"QUARZITE        ","MINER  L",2.6,,*,51.8,-125.0,*,
-125.02889574,51.7299874837,D008-0108,1-EPB,0.0,0.0,"SLATE           ",PERKINSP,2.9,,*,51.7,-125.0,*,
-125.007046188,51.7303640594,D008-0108,1-EPB,0.0,0.0,"QUARZITE        ",PERKINSP,2.7,,*,51.7,-125.0,*,
-124.981526499,51.7262911792,D008-0110,1-EPB,0.0,0.0,"QUARTZITE       ","MIDDLE L",2.7,,*,51.7,-125.0,*,
-125.183966299,51.9160679376,D008-0109,1-EPB,0.0,0.0,"BRECCIA         ","COAST PL",2.6,,*,51.9,-125.2,*,
-125.897524331,51.8975132892,D008-0114,1-EPB,0.0,0.0,"QUARTZITE       ",UNMAPPED,2.8,,*,51.9,-125.9,*,
-125.879578664,51.901099366,D008-0113,1-EPB,0.0,0.0,"SLATE           ",UNMAPPED,2.8,,*,51.9,-125.9,*,
-125.168638848,51.9298407149,D008-0114,1-EPB,0.0,0.0,"QUARTZITE       ","KLEENA K",2.7,,*,51.9,-125.2,*,
