province,longitude,latitude,Vp_100_kms,MagSus_SI,Density_gcc,elevation,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Au_ppb,Cu_ppm,Ni_ppm,Co_ppm,Li_ppm,Cr_ppm,Zn_ppm,Pb_ppm,Mo_ppm,As_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Nd_ppm,Nb_ppm,V_ppm,W_ppm,Cobalt,Copper,Diamond,Gold,Graphite,Lithium,Nickel,Rare Earth Elements (REE),Silver,Uranium
Alberta,-119.2595334,54.02862025,6.156535,0.0,2.7415583,1526.0,10.08006,1.3441762,0.9157023,0.7828493,30.056355,0.58401287,0.6841868,0.23886105,6.0573664,0.03540887,7.566604,13.606967,18.104792,11.127805,5.1658926,14.102632,4058.0798,408.09412,2.4371908,10.964535,75.014984,51.4347,426.64917,505.8323,24.02681,15.378661,274.67572,187.34122,0,0,0,0,0,0,0,0,0,0
Alberta,-119.1783886,53.93860907,6.00305,0.0,2.70222,997.0,10.509113,1.4948486,1.4728879,0.6392965,29.851658,0.21032892,0.61128604,0.32743186,6.478723,0.040785734,7.5373063,30.002161,19.373186,12.094529,6.3309364,20.800648,10823.078,1638.1223,3.0567093,10.340519,12.8072815,50.517616,40.271633,46.87187,24.538885,21.961147,248.10219,9.442221,0,0,0,0,0,0,0,0,0,0
Alberta,-117.5087097,53.09308204,5.870413,0.0,2.7686038,1757.0,31.763702,5.646134,7.142402,0.16006821,11.979845,2.1192288,1.6890423,0.6382805,1.4330331,0.14654124,6.7911844,509.71957,31.25641,19.215378,13.199227,54.068157,36432.695,6540.999,5.4294195,4.8755913,13.749751,20.55912,37.78773,163.04466,21.69266,32.11923,63.64259,5.209881,0,0,0,0,0,0,0,0,0,0
Alberta,-117.4604471,53.60719525,5.8450656,0.0,2.725312,1444.0,19.958529,4.7392106,4.412431,0.395807,20.130655,1.5849476,1.7081265,0.43533635,2.1432745,0.06331662,7.257545,451.9121,28.208645,17.72241,9.907187,38.974438,28525.209,4439.3896,4.433979,7.0087156,124.13319,35.547295,705.88947,947.5852,22.464796,32.361004,174.46313,6.3258367,0,0,0,0,0,0,0,0,0,0
Alberta,-117.4407696,53.10082201,5.8694158,0.0,2.7685504,1704.0,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,0,0,0,0,0,0,0,0,0,0
Alberta,-117.4070829,53.06594227,5.8694158,0.0,2.7685504,1669.0,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,0,0,0,0,0,0,0,0,0,0
Alberta,-117.4,53.0667,5.8694158,0.0,2.7685504,1659.0,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,0,0,0,0,0,0,0,0,0,0
Alberta,-117.36642,53.403506,5.8468246,0.0,2.7265043,1347.0,23.977552,5.2156672,7.0048995,0.17225045,12.559178,2.0305133,1.8100059,0.5091228,1.8721957,0.07529674,6.8278084,482.16953,30.807089,18.773306,11.154363,53.23125,35589.15,6400.109,5.390736,5.1306186,123.46398,28.72046,704.5088,971.4825,22.413754,33.293633,143.94025,6.101999,0,0,0,0,0,0,0,0,0,0
Alberta,-117.0832472,53.16712917,5.8672905,0.0,2.7684305,1360.0,31.359234,5.575625,7.180121,0.15986866,11.933097,2.1686378,1.7006633,0.62410027,1.4078377,0.14846669,6.815576,515.35034,31.148958,19.190426,13.174633,53.65197,35307.777,6382.1387,5.337876,4.9747977,13.483658,20.505545,36.33961,160.42561,21.640366,31.295536,63.59695,5.3844037,0,0,0,0,0,0,0,0,0,0
Alberta,-116.7956893,53.06878004,5.8480396,0.0,2.75939,1401.0,32.279247,5.6436796,8.428253,0.444619,9.687018,2.4059892,1.7536355,0.6165563,1.349244,0.15116723,7.234097,870.946,35.357414,23.53257,13.256529,54.159794,34380.996,6264.701,5.099989,3.8933496,13.055352,19.865356,35.31145,160.34245,21.548517,30.253403,61.537045,1.5562507,0,0,0,0,0,0,0,0,0,0
Alberta,-116.7098687,53.04688892,5.8480396,0.0,2.75939,1375.0,32.279247,5.6436796,8.428253,0.444619,9.687018,2.4059892,1.7536355,0.6165563,1.349244,0.15116723,7.234097,870.946,35.357414,23.53257,13.256529,54.159794,34380.996,6264.701,5.099989,3.8933496,13.055352,19.865356,35.31145,160.34245,21.548517,30.253403,61.537045,1.5562507,0,0,0,0,0,0,0,0,0,0
Alberta,-116.0846652,52.45757816,5.8577304,0.0,2.7638535,1463.0,24.13101,5.207977,13.739883,0.12674959,5.0921993,3.4720514,1.7002218,0.447017,0.9274676,0.2180181,638.54297,523.944,26.184196,25.657827,24.513792,80.36586,139.99046,372.19937,5.824079,1555.2039,9.643519,14.038829,35.461903,402.11914,19.416847,31.977667,48.405968,57.487354,0,0,0,0,0,0,0,0,0,0
