X,Y,OBJECTID,LOCATION,CR_PPM,NI_PPM,CO_PPM,SC_PPM,V_PPM,CU_PPM,PB_PPM,ZN_PPM,BI_PPM,CD_PPM,IN_PPM,SN_PPM,W_PPM,MO_PPM,AS_PPM,SE_PPM,SB_PPM,TE_PPM,AG_PPM,RE_PPM,AU_PPB,HG_PPM,RB_PPM,CS_PPM,BA_PPM,SR_PPM,TL_PPM,GA_PPM,GE_PPM,LI_PPM,TA_PPM,NB_PPM,HF_PPM,ZR_PPM,Y_PPM,TH_PPM,U_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,BR_PPM,I_PPM,B_PPM,BE_PPM,MN_PPM,SAMPLE_NUMBER_ID,CHEMISTRY_REVIEWED,ROCK_TYPE_NAME,SAMPLE_TYPE,LITHOLOGICAL_UNIT,GEOLOGICAL_DOMAIN,COLLAR_PROJECT_NAME,DATE_ANALYSIS_SENT,SENT_BY,DATE_SAMPLE_COLLECTED,COLLECTED_BY,UTM_EASTING,UTM_NORTHING,SIO2_PCT,TIO2_PCT,AL2O3_PCT,FE2O3_PCT,FEO_PCT,MNO_PCT,MGO_PCT,CAO_PCT,NA2O_PCT,K2O_PCT,P2O5_PCT,CR2O3_PCT,H2O_M_PCT,H2O_P_PCT,SO4_PCT,CO2_PCT,C_ORG_PCT,LOI_PCT,TOTAL_PCT,PB_204_PPM,PB_206_PPM,PB_207_PPM,PB_208_PPM,S_PCT,RU_PPB,RH_PPB,PD_PPB,OS_PPB,IR_PPB,PT_PPB,F_PCT,CL_PCT,C_PCT,TI_PCT,AL_PCT,FE_PCT,MG_PCT,CA_PCT,NA_PCT,K_PCT,P_PCT,ANALYSIS_LAB,ANALYSIS_LAB_CERTIFICATE_NUM,ANALYSIS_LAB_CODE,DIGESTION,DIGESTION_METHOD,ANALYTICAL_METHOD,COMMENT_,REASON,SAMPLE_DESCRIPTION,ANALYSIS_ORIGIN,TYPE_OF_ANALYSIS,ANALYSIS_TYPE_DESCRIPTION,COLLAR_HOLE_NAME,DATA_OBTAINED,COMPANY_DATUM,COMPANY_ZONE,ELEVATION,COMPANY_NAME,NTS,CORE_SIZE,DRILL_TYPE,SAMPLE_DEPTH_FROM_METRES,SAMPLE_DEPTH_TO_METRES,SAMPLE_DEPTH_FROM_FEET,SAMPLE_DEPTH_TO_FEET,GLOBALID
697889,6075671,13903,Hamell Lake Area,4,2,,,,284,9,50,,, ,,,,,,, ,, ,,,33,,,178, ,,,,,,,143,,4,1,,,,,,,,,,,,,,,, , ,,,6001,No,Felsic fragmental volcanic rock,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,697889,6075671,74.69999695,0.11,11.5,,3.6099999,0.06,1.38,1.76999998,,2.25,0.1,,0.04, ,,,,0.81,98.80999756,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{A5B0AA0E-4573-445C-8B63-7D6D5F8704A3}
697452,6067574,13904,Southern,96,261,,,,96,5,94,,, ,,,,,,, ,, ,,,8,,,156, ,,,,,,,26,,1,1,,,,,,,,,,,,,,,, , ,,,414,No,Gabbro,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,697452,6067574,44.90000153,0.52999997,17.20000076,,12.86999989,0.18000001,9.51000023,10.69999981,,0.30000001,0.18000001,,0.13, ,,,,2.75,100.98999786,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{386AA086-A81A-4170-9738-B0C55E32E938}
697913,6075688,13905,Hamell Lake Area,143,68,,,,43,11,109,,, ,,,,,,, ,, ,,,13,,,902, ,,,,,,,99,,1,7,,,,,,,,,,,,,,,, , ,,,6002,No,Gabbro,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,697913,6075688,50.40000153,0.83999997,16.10000038,,9.60000038,0.14,6.26000023,11.19999981,,0.77999997,0.38,,0.05, ,,,,1.08000004,99.93000031,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{5D4CD1A5-8BF8-42CD-B930-6EACC127F18C}
698713,6081619,13906,Northern,13,19,,,,3,1,54,,, ,,,,,,, ,, ,,,2,,,226, ,,,,,,,37,,2,1,,,,,,,,,,,,,,,, , ,,,359,No,Mylonite,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698713,6081619,57.5,0.47999999,16.70000076,,7.0999999,0.09,4.84000015,6.23000002,,0.31999999,0.19,,0.07, ,,,,0.85000002,99.87999725,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{90990B2C-5623-41B5-BD79-C0C6C3536344}
698671,6081570,13907,Northern,10,5,,,,1,4,37,,, ,,,,,,, ,, ,,,26,,,85, ,,,,,,,165,,6,2,,,,,,,,,,,,,,,, , ,,,360,No,Granite,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698671,6081570,74.09999847,0.22,12.39999962,,3.19000006,0.05,0.69,1.54999995,,2.5,0.12,,0.05, ,,,,1.66999996,100.01000214,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{C2C47113-5A1A-4A22-8084-2D994D0E5DA9}
698817,6084845,13908,Northern,1,5,,,,80,2,143,,, ,,,,,,, ,, ,,,31,,,214, ,,,,,,,56,,2,1,,,,,,,,,,,,,,,, , ,,,361,No,Felsic fragmental volcanic rock,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698817,6084845,61,0.64999998,13.80000019,,10.98999977,0.22,2.1500001,7.17999983,,1.47000003,0.25999999,,0.03, ,,,,1.69000006,101.87999725,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{1DDAE8A4-6D55-49A3-85FB-A2954549B58F}
698731,6084912,13909,Northern,96,49,,,,59,7,83,,, ,,,,,,, ,, ,,,7,,,78, ,,,,,,,22,,3,1,,,,,,,,,,,,,,,, , ,,,362,No,Basaltic tuff,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698731,6084912,54.09999847,0.33000001,13.89999962,,11.18999958,0.16,6.75,10.5,,0.34999999,0.13,,0.02, ,,,,0.97000003,100.29000092,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{A8A0963E-595B-4125-8341-47E4D84C8CD4}
698808,6085061,13910,Northern,1,31,,,,326,2,98,,, ,,,,,,, ,, ,,,5,,,87, ,,,,,,,33,,2,1,,,,,,,,,,,,,,,, , ,,,363,No,Basaltic tuff,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698808,6085061,52.20000076,0.44,14.5,,11.88000011,0.19,5.32999992,11.89999962,,0.19,0.15000001,,0.01, ,,,,1.25999999,99.62000275,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{7E4CF4CE-2037-473C-8E06-5B982ACB6DD6}
698863,6085206,13911,Northern,243,74,,,,110,2,77,,, ,,,,,,, ,, ,,,4,,,106, ,,,,,,,47,,1,1,,,,,,,,,,,,,,,, , ,,,364,No,Amygdaloidal basalt,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698863,6085206,48.09999847,0.70999998,15,,10.78999996,0.17,7.32999992,14.69999981,,0.19,0.15000001,,0.06, ,,,,1.27999997,99.87000275,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{906DCDD4-0FDE-46FC-AC59-04B75FDB2542}
698798,6085395,13912,Northern,19,28,,,,122,1,104,,, ,,,,,,, ,, ,,,4,,,166, ,,,,,,,44,,1,3,,,,,,,,,,,,,,,, , ,,,365,No,Massive basalt,rock, ,Flin Flon,SEM Research Contract,1982,Parslow & Gaskarth,,,698798,6085395,54.20000076,0.75999999,14.5,,13.17000008,0.19,4.44999981,9.31999969,,0.28999999,0.2,,0.04, ,,,,0.40000001,99.94999695,,,,,, , , , ,, , , ,,,,,,,,,,"Major elements and V - University of Regina; Other trace elements - University of Aston in Birmingham",,,,,"Major elements (except Na and K) and V: ICP; Na and K: AA; Ba,Cu,Nb,Pb,Rb,Sr,Th,U,Y,Zn,Zr: XRF", ,,,,,,,,,,,,,,,,,,,{88D00FA6-FD1A-4619-9102-32663F51BF98}
