company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,information,source1,source2,source3,link1,link2,link3,Commodity
"Alexco Resources Corp (2006- Present); Dominion Mineral Resources and Sterling Frontier Properties Company of Canada Ltd. (1990-1997); United Keno Hill Mines Ltd. (1947-1989); Treadwell Yukon Corp. Ltd. (1925-1941), Keno Hill, Ltd. [formed by Yukon Gold Company] (1919-1934)","Dominion Mineral Resources and Sterling Frontier Properties Company of Canada Ltd. (1990-1997); United Keno Hill Mines Ltd. (1947-1989); Treadwell Yukon Corp. Ltd. (1925-1941), Keno Hill, Ltd. [formed by Yukon Gold Company] (1919-1934)",,,,,Historic Keno Hill District,,Yukon,63.90947,-135.30225,1919,1989,1990,1997,2006,open,"140 to 600 workers // famous historic mining camp, the majority of employees were local; mostly European immigrants; exact  numbers unknown",1,0,0,,,,Zinc
"Alexco Resources Corp (2006- Present); Dominion Mineral Resources and Sterling Frontier Properties Company of Canada Ltd. (1990-1997); United Keno Hill Mines Ltd. (1947-1989); Treadwell Yukon Corp. Ltd. (1925-1941), Keno Hill, Ltd. [formed by Yukon Gold Company] (1919-1934)","Dominion Mineral Resources and Sterling Frontier Properties Company of Canada Ltd. (1990-1997); United Keno Hill Mines Ltd. (1947-1989); Treadwell Yukon Corp. Ltd. (1925-1941), Keno Hill, Ltd. [formed by Yukon Gold Company] (1919-1934)",,,,,Historic Keno Hill District,,Yukon,63.90947,-135.30225,1919,1989,1990,1997,2006,open,"140 to 600 workers // famous historic mining camp, the majority of employees were local; mostly European immigrants; exact  numbers unknown",1,0,0,,,,Gold
Renabie Mines Ltd.,,,,,,,Missanabie (Renabie),Ontario,48.37559,-83.873,1920,1991,,,,,,1,0,0,,,,Gold
Luscar Coals Ltd. ,,,,,,,Luscar,Alberta,53.06594227,-117.4070829,1921,1958,,,,,Luscar is a ghost town,1,0,0,,,,Coal
Alberta Power Limited,Battle River Coal Ltd. ,Manalta Coal Ltd. ,,,,Vesta,Halkirk ,Alberta,52.46720085,-112.1525496,1922,2012,,,,,,1,0,0,,,,Coal
Royal Oak Mines Inc.,,,,,,Nighthawk Lake,Timmins,Ontario,48.49567,-80.9732,1924,1979,,,,,,1,0,0,,,,Gold
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Lead
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Gold
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Copper
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Silver
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Cadmium
Violamac Mines (B.C.) Ltd. ,,,,,,,,British Columbia,49.994999,-117.27166,1924,1985,,,,,,1,0,0,,,,Zinc
Bathurst Feldspar Mines Ltd. ,,,,,,,,Ontario,44.91281,-76.39586,1926,1952,,,,,,1,0,0,,,,Feldspar
Lethbridge Collieries Ltd. ,,,,,,,,Alberta,49.84729193,-112.8413593,1927,1965,,,,,,1,0,0,,,,Coal
Torbrit Silver Mines Ltd. ,,,,,,,,British Columbia,55.686944,-129.5075,1928,1959,,,,,,1,0,0,,,,Lead
Torbrit Silver Mines Ltd. ,,,,,,,,British Columbia,55.686944,-129.5075,1928,1959,,,,,,1,0,0,,,,Copper
Torbrit Silver Mines Ltd. ,,,,,,,,British Columbia,55.686944,-129.5075,1928,1959,,,,,,1,0,0,,,,Gold
Torbrit Silver Mines Ltd. ,,,,,,,,British Columbia,55.686944,-129.5075,1928,1959,,,,,,1,0,0,,,,Silver
Torbrit Silver Mines Ltd. ,,,,,,,,British Columbia,55.686944,-129.5075,1928,1959,,,,,,1,0,0,,,,Zinc
Hudson Bay Mining and Smelting Co. Ltd. ,,,,,,,Flin Flon ,Saskatchewan,54.75694,-101.8786249,1930,1977,,,,,,1,0,0,,,,Gold
Hudson Bay Mining and Smelting Co. Ltd. ,,,,,,,Flin Flon ,Saskatchewan,54.75694,-101.8786249,1930,1977,,,,,,1,0,0,,,,Zinc
Hudson Bay Mining and Smelting Co. Ltd. ,,,,,,,Flin Flon ,Saskatchewan,54.75694,-101.8786249,1930,1977,,,,,,1,0,0,,,,Copper
Cochenour Willans Gold Mines Ltd.,,,,,,Cochenour ,Cochenour ,Ontario,51.07729,-93.80895,1932,1971,,,,,,1,0,0,,,,Gold
Pickle Crow Gold Mines Ltd,,,,,,,,Ontario,51.50195,-90.05537,1933,1966,,,,,,1,0,0,,,,Gold
Ronald Nadon Inc.,Mud Lake Gold Mines Development Company,,,,,Mud Lake,Poltimore / Guillet,Quebec,45.76183,-75.698564,1934,2000,,,,,,1,0,0,,,,Feldspar
Hollinger Consolidated Gold Mines Ltd. ,,,,,,Ross,Holtyre ,Ontario,48.47809,-80.28421,1934,1989,,,,,,1,0,0,,,,Gold
