province,longitude,latitude,Almandine,Anhydrite,Anorthosite,Antimony,Apatite,Arsenic,Asbestos,Barite,Barium,Be,Bentonite,Beryllium,Bismuth,Building Stone,Cadmium,Caesium,Calcium Carbonate,Cesium,Chromium,Chrysotile,Clay,Closed between 2020 and 2021,Coal,Cobalt,Copper,Diamond,Diatomite,Dimension Stone,Dolomite,Feldspar,Fireclay,Flagstone,Fluorine,Fluorspar,Fullers Earth,GM68420,GM68420.pdf,Gallium,Garnet,Gemstones,Germanium,Gold,Gold Silver,Granite,Graphite,Gypsum,Ilmenite,Iron,Iron ore,Jade,Lead,Lime,Limestone,Lithium,Magnesia,Magnesitic Dolomite,Magnesium,Magnetite,Mercury,Mica,Molybdenum,Nepheline Syenite,Nephrite,Nickel,Niobium,PM,Palladium,Perlite,Phosphate,Platinum,Potash,Pozzolan,Pumice,Pyrite,Pyrophyllite,Quartz,Radium,Rare Earth Elements (REE),Rhenium,Salt,Selenium,Serpentine,Shale,Siderite,Silica,Silver,Slate,Slerium,Soapstones,Sodium Sulphate,Steatite,Strontium,Sulfur,Sulphur,Sulphure,Talc,Tantalum,Tellerium,Tellurium,Thorium,Tin,Titanium,Tremolite,Tungsten,Uranium,Wollastonite,Zinc,Zircon,geometry,index_right,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Au_ppb,Cu_ppm,Ni_ppm,Co_ppm,Li_ppm,Cr_ppm,Zn_ppm,Pb_ppm,Mo_ppm,As_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Nd_ppm,Nb_ppm,V_ppm,W_ppm,Vp_100_kms,MagSus_SI,Density_gcc,distance,elevation
Alberta,-116.7098687,53.04688892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1408270.0769411123 689669.4900128229),36703,32.279247,5.6436796,8.428253,0.444619,9.687018,2.4059892,1.7536355,0.6165563,1.349244,0.15116723,7.234097,870.946,35.357414,23.53257,13.256529,54.159794,34380.996,6264.701,5.099989,3.8933496,13.055352,19.865356,35.31145,160.34245,21.548517,30.253403,61.537045,1.5562507,5.8480396,0.0,2.75939,1760.8721279545657,1375.0
Alberta,-116.0846652,52.45757816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1390303.028847711 614806.3330484709),33217,24.13101,5.207977,13.739883,0.12674959,5.0921993,3.4720514,1.7002218,0.447017,0.9274676,0.2180181,638.54297,523.944,26.184196,25.657827,24.513792,80.36586,139.99046,372.19937,5.824079,1555.2039,9.643519,14.038829,35.461903,402.11914,19.416847,31.977667,48.405968,57.487354,5.8577304,0.0,2.7638535,4815.905222940155,1463.0
Alberta,-115.3362971,51.05617338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1391211.5721741836 452149.5709807679),26241,2.590529,2.6091332,4.0256486,2.9116678,29.949245,0.07308786,0.1261075,0.1242539,0.6194101,0.48253328,4.8317437,16.12615,22.641823,21.71653,49.418964,44.92566,81.92758,8.98135,14.884927,3.227219,2.8452575,13.552924,316.47366,1415.58,10.59201,33.78932,55.90051,1.7205735,5.883363,0.0,2.7685258,2467.338284188235,1379.0
Alberta,-115.1351986,51.07138943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1377396.4119177696 449368.7205505607),26242,2.6781723,2.5714877,4.017619,2.9763975,29.888544,0.07603891,0.12891771,0.12342662,0.6308089,0.4833983,4.94836,16.306444,22.43923,21.771364,49.057793,44.825478,82.311134,9.111268,14.802567,3.2122157,2.8612006,13.748719,338.659,1451.2234,10.44196,33.39528,55.933685,1.7236279,5.8806233,0.0,2.7679315,2679.070291358817,1291.0
Alberta,-114.5248106,49.80767402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1379233.313341626 303055.0006715222),19702,27.29294,2.5485466,0.73194295,0.69516796,27.240847,0.56109315,0.45770788,0.14390157,10.173934,0.027441684,10.0,22.84136,30.808088,25.418203,40.88344,42.813805,76.89804,18.783909,3.6601634,3.8575895,8.036075,20.842958,114.926476,108.835045,7.0460734,6.4356337,70.23704,1.6129887,5.9235153,0.0,2.7866943,3149.660179378122,1747.0
Alberta,-114.5245868,53.4692849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1257258.5232847445 687805.1012706225),36718,11.745577,5.982073,10.317945,0.4779366,11.321809,2.6252587,1.4401867,0.42791316,1.0694344,0.22053798,620.19073,500.6126,27.730267,25.984861,32.697197,74.93125,8877.392,1710.8577,8.520264,1520.7383,10.130523,15.561505,41.265038,624.68787,16.995728,42.673138,56.109497,2.7649944,5.8096585,0.0,2.7479606,3511.8140910223246,738.0
Alberta,-114.5237074,53.58966554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1253216.5989454575 700366.6908686198),37155,11.377008,5.5220623,7.2375927,0.5126542,14.20688,1.9981014,1.435948,0.42173904,1.5045874,0.21786629,399.40573,482.07178,30.50758,23.439503,26.704561,62.786476,26168.656,4108.4785,9.8626375,287.26108,13.017244,22.31917,41.989933,375.17044,18.334915,42.30505,75.23291,2.3655837,5.8068843,0.0,2.7473001,3237.612007656156,773.0
Alberta,-114.5040416,49.67038631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1382408.825315884 288088.18823021284),19266,26.426828,2.5018942,0.7462364,0.69803804,27.653051,0.5013806,0.5088359,0.14582784,12.660077,0.029109096,10.297279,27.956177,32.246822,25.790436,40.883404,43.465874,90.49629,18.217688,3.6304727,4.7648697,7.9079256,24.593323,130.22263,113.11046,7.0460725,6.4227223,76.21043,1.6494119,5.9227157,0.0,2.7865849,3075.190652573766,1663.0
Alberta,-114.4052802,49.59245398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1378225.262565004 277699.2947415123),18830,26.781906,2.5285106,0.7765407,0.73135644,27.47867,0.43139726,0.5894404,0.15643342,15.867138,0.030859044,10.719672,31.486921,34.184868,26.126377,40.88337,44.366817,94.04769,18.266966,3.953383,5.8553677,8.870655,28.714487,162.53625,127.61026,7.046071,6.385323,77.72024,1.6824485,5.9216037,0.0,2.7864206,2905.762553814062,1283.0
Alberta,-114.3655183,53.32950606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1251930.1905396348 670050.7956896109),35847,7.4442883,5.977189,10.29352,0.7966013,12.267741,2.566634,1.283671,0.32315654,0.5310088,0.21657562,622.08777,475.3954,24.630018,26.030941,38.407986,69.59844,143.08095,342.77417,7.8798113,1529.1655,7.74598,13.132772,31.132526,860.8474,15.495117,44.625736,54.855495,2.7461822,5.8110056,0.0,2.749091,1930.9943037085472,749.0
