X,Y,OBJECTID,SMDI,NAME,HISTORICNAMES,PRIMARYCOMMODITIES,ASSOCIATEDCOMMODITIES,GROUPING,DISCOVERYTYPE,STATUS,PRODUCTION,RESERVESRESOURCES,UTM13E,UTM13N,WEBLINK,SYMBOLOGY_STATUS,SYMBOLOGY_GROUPING,GLOBALID
377089.72,6565048.2,2136,1998b,"Phosphate-Rich Sandstone Boulders RM-GF-1 and -2, RMG-1 to -7","Phosphate-Rich Sandstone Boulders RM-GF-1 and -2, RMG-1 to -7",Phosphorus,Iron,Industrial Material (Other),Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,377089.72,6565048.2,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/1998b,Anomaly,Industrial Materials,{F9A99B26-211A-4DFD-8CE6-F567E622833F}
378280.68,6565072.2,2137,1998c,Phosphate-Rich Sandstone Boulders RM-GF-3 and RM-GC-1,Phosphate-Rich Sandstone Boulders RM-GF-3 and RM-GC-1,Phosphorus,Iron,Industrial Material (Other),Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,378280.68,6565072.2,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/1998c,Anomaly,Industrial Materials,{E4735721-84B7-4054-AF0A-E86BE4FB2E5B}
381062.57,6557555.35,2138,1999a,Trench Sample RM-B-69,Trench Sample RM-B-69,Phosphorus,Iron,Industrial Material (Other),Trench,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,381062.57,6557555.35,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/1999a,Anomaly,Industrial Materials,{8186801E-D792-45FF-8668-E4B3097B3B96}
381555.55,6557540.35,2139,1999b,Grab Sample RM-B-68,Grab Sample RM-B-68,Phosphorus,Iron,Industrial Material (Other),Outcrop grab,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,381555.55,6557540.35,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/1999b,Anomaly,Industrial Materials,{03C5A8B8-8240-4684-8A42-109890452F8D}
381445.55,6558101.34,2140,1999c,Richard's Lake Phosphate-Rich Boulders,Richard's Lake Phosphate-Rich Boulders,Phosphorus,Iron,Industrial Material (Other),Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,381445.55,6558101.34,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/1999c,Anomaly,Industrial Materials,{BB77311D-098B-437B-8823-B57E2CA1F099}
410827.43,6569090.15,2141,2000,Drill hole PN-79-2,Drill hole PN-79-2,Uranium,Nickel,Uranium,Drillhole,Occurrence: Primary Exploration,No,No,410827.43,6569090.15,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2000,Occurrence: Primary Exploration,Uranium,{84CBC106-20EC-481E-980C-52B38E22B77E}
370079.0,6574506.02,2142,2001,Esker Bay East Radioactive Boulder Train,Esker Bay East Radioactive Boulder Train,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,370079,6574506.02,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2001,Anomaly,Uranium,{23FD4E27-6324-489D-8A8A-E4B458531EC5}
366457.14,6574199.02,2143,2002,Esker Bay West Radioactive Boulder Train,Esker Bay West Radioactive Boulder Train,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,366457.14,6574199.02,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2002,Anomaly,Uranium,{5B0AEC31-215C-42C6-94C0-8CDDB26C4B75}
368769.05,6572353.06,2144,2003a,Locke Lake Radioactive Boulder Train,Locke Lake Radioactive Boulder Train,Uranium,Iron,Uranium,Float Rock,Mineral Location,No,No,368769.05,6572353.06,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2003a,Mineral Location,Uranium,{61FF57CA-BE70-4B4C-9A45-02DA7E19633B}
367511.1,6572180.06,2145,2003b,Locke Lake Radioactive Boulder Train,Locke Lake Radioactive Boulder Train,Uranium,Iron,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,367511.1,6572180.06,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2003b,Anomaly,Uranium,{1DDA793A-B323-4793-B6D9-1D319727CF0D}
585959.73,6490643.57,2146,2004,Medium Lake Uranium Occurrence,Medium Lake Uranium Occurrence,Uranium,Iron,Uranium,Float Rock,Occurrence: Primary Exploration,No,No,585959.73,6490643.57,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2004,Occurrence: Primary Exploration,Uranium,{DCEA018E-890D-4C23-AF5D-CD39F8162A70}
584525.78,6492623.54,2147,2005,AJ Radioactive Boulder Occurrence,AJ Radioactive Boulder Occurrence,Uranium,Molybdenum,Uranium,Float Rock,Occurrence: Primary Exploration,No,No,584525.78,6492623.54,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2005,Occurrence: Primary Exploration,Uranium,{9CFD0851-97AA-462E-ACD2-761DEF8200EB}
592944.46,6498198.44,2148,2006,Amphora Lake Radioactive Boulder Occurrence,Amphora Lake Radioactive Boulder Occurrence,Uranium,"Iron, Molybdenum",Uranium,Float Rock,Occurrence: Primary Exploration,No,No,592944.46,6498198.44,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2006,Occurrence: Primary Exploration,Uranium,{FD42547C-C258-475D-B59B-D16C5C4A6710}
